actual,prediction,split
167.0,155.3986,evaluation
190.0,149.17107,evaluation
179.0,222.43256,evaluation
197.0,249.38222,evaluation
206.0,206.43236,evaluation
164.0,191.89291,evaluation
207.0,185.40721,evaluation
155.0,175.1032,evaluation
140.0,154.79825,evaluation
169.0,134.89114,evaluation
151.0,126.04969,evaluation
116.0,120.76427,evaluation
113.0,123.37968,evaluation
113.0,122.06841,evaluation
116.0,121.584,evaluation
113.0,117.77834,evaluation
119.0,123.809715,evaluation
101.0,111.17218,evaluation
83.0,95.359726,evaluation
69.0,82.1345,evaluation
69.0,71.802635,evaluation
57.0,66.18589,evaluation
45.0,54.95365,evaluation
45.0,49.156506,evaluation
62.0,60.867336,evaluation
84.0,91.1718,evaluation
117.0,114.518135,evaluation
112.0,117.63022,evaluation
117.0,125.77612,evaluation
113.0,121.500114,evaluation
112.0,115.335556,evaluation
117.0,132.20763,evaluation
147.0,121.79493,evaluation
116.0,119.478745,evaluation
107.0,112.409485,evaluation
117.0,112.91229,evaluation
157.0,119.456474,evaluation
199.0,139.53737,evaluation
144.0,144.17514,evaluation
139.0,137.35454,evaluation
119.0,119.82768,evaluation
83.0,89.662186,evaluation
58.0,65.07243,evaluation
50.0,50.471333,evaluation
44.0,41.47198,evaluation
35.0,37.92177,evaluation
41.0,42.275875,evaluation
51.0,47.892773,evaluation
52.0,67.6647,evaluation
75.0,78.51187,evaluation
83.0,82.22633,evaluation
85.0,86.6985,evaluation
75.0,70.499695,evaluation
77.0,70.5462,evaluation
81.0,76.40126,evaluation
85.0,141.8568,evaluation
91.0,112.6811,evaluation
92.0,90.61871,evaluation
90.0,93.495384,evaluation
83.0,90.76879,evaluation
67.0,78.185455,evaluation
77.0,84.931984,evaluation
73.0,85.708145,evaluation
77.0,79.66783,evaluation
63.0,69.23471,evaluation
50.0,56.1942,evaluation
46.0,48.1756,evaluation
36.0,34.233402,evaluation
29.0,35.79931,evaluation
33.0,36.133095,evaluation
35.0,35.046352,evaluation
42.0,42.311337,evaluation
59.0,53.44427,evaluation
70.0,61.21125,evaluation
69.0,70.29498,evaluation
67.0,68.296165,evaluation
88.0,74.223434,evaluation
80.0,78.89513,evaluation
70.0,70.07768,evaluation
69.0,64.5596,evaluation
122.0,94.27356,evaluation
78.0,82.2651,evaluation
70.0,72.679886,evaluation
73.0,77.21817,evaluation
90.0,85.46251,evaluation
108.0,92.09317,evaluation
140.0,100.49521,evaluation
112.0,93.802635,evaluation
83.0,86.39416,evaluation
74.0,75.46102,evaluation
61.0,66.61151,evaluation
55.0,59.1441,evaluation
42.0,47.717464,evaluation
38.0,42.392036,evaluation
27.0,38.00734,evaluation
34.0,34.66935,evaluation
47.0,49.116516,evaluation
79.0,69.01342,evaluation
134.0,97.003,evaluation
149.0,114.507835,evaluation
141.0,131.65074,evaluation
150.0,123.16163,evaluation
