neighbor__5024,neighbor__1421,neighbor__1426
36.98,20.65,4.85
40.38,20.78,4.45
66.55,23.78,4.28
73.47,25.6,4.08
70.4,27.2,3.1
69.92,31.08,2.72
67.4,31.93,4.8
56.82,35.92,7.42
53.0,40.9,34.3
75.97,46.03,46.85
83.48,52.0,55.35
82.4,51.05,46.68
85.18,46.1,55.77
97.78,43.82,44.6
95.72,38.88,42.78
85.38,39.78,41.0
75.82,39.0,35.58
62.85,35.3,25.18
50.18,38.12,20.02
44.45,35.4,21.17
46.85,35.1,20.35
43.35,31.4,24.35
45.88,38.0,24.35
54.38,59.05,28.68
70.03,62.12,26.22
71.47,54.0,23.08
59.58,34.38,13.82
51.68,26.52,11.08
45.05,20.35,8.95
32.98,28.72,7.85
29.92,35.08,10.95
36.7,77.62,61.22
67.22,96.85,95.88
105.35,93.75,95.12
131.02,89.25,88.93
118.4,91.48,93.75
108.22,91.6,77.45
103.35,84.28,70.05
94.62,82.22,69.38
83.2,88.9,60.58
49.82,79.72,61.7
54.85,58.12,63.2
47.3,48.18,62.47
43.1,49.58,65.42
46.7,46.32,62.7
78.97,67.72,58.15
78.1,69.18,44.18
65.65,42.62,14.35
69.27,32.45,27.17
90.7,28.15,55.92
89.25,26.35,99.9
71.02,18.85,109.07
72.03,13.55,102.15
65.9,30.62,74.28
74.95,73.68,83.08
97.52,88.82,102.8
107.6,83.85,100.82
105.78,80.53,101.38
120.9,72.25,102.95
126.82,41.42,124.2
86.45,36.4,110.12
74.65,43.3,96.98
70.65,38.12,81.08
64.28,34.8,71.1
63.62,31.95,61.22
88.62,30.72,60.55
94.05,35.33,58.08
104.42,42.75,65.45
128.2,58.42,98.9
130.52,34.55,84.43
98.72,23.22,82.18
81.62,17.3,67.78
69.42,14.45,69.2
60.92,11.8,83.08
65.4,10.05,77.95
67.45,11.62,59.32
95.95,14.3,57.45
92.3,23.95,43.4
89.5,29.65,47.72
87.18,32.3,63.35
82.5,29.4,68.43
71.48,21.85,84.52
61.65,15.0,86.62
49.75,12.3,62.75
47.03,11.88,78.47
45.45,7.55,28.25
53.15,7.92,36.92
68.6,6.25,40.33
68.88,4.92,37.18
66.25,7.1,54.58
64.3,10.22,23.72
61.48,12.73,25.0
47.08,10.35,45.18
41.4,9.98,34.48
39.15,8.98,35.83
38.62,9.12,45.32
42.22,10.45,55.08
51.85,7.68,56.8
64.75,20.85,46.55
65.4,11.95,38.72
68.5,31.28,46.08
65.32,37.05,68.55
75.22,16.68,70.9
54.7,18.5,37.55
36.33,26.65,29.6
42.82,38.03,34.05
36.2,45.0,36.08
32.78,49.32,49.42
58.9,38.92,63.25
54.98,36.83,51.35
56.85,34.88,47.65
56.88,32.1,48.38
53.48,35.78,49.4
66.15,50.4,54.25
63.42,66.8,37.5
24.32,35.65,21.8
26.12,26.35,20.45
32.45,23.4,21.0
33.38,24.72,22.5
35.0,26.65,27.28
39.98,28.1,47.6
51.32,46.15,63.08
43.22,64.8,58.02
45.48,64.38,53.75
54.02,60.78,53.12
52.53,59.72,53.02
49.7,47.05,46.52
44.38,46.5,41.08
50.42,45.42,34.2
45.72,38.67,25.33
44.25,35.75,24.4
46.85,32.95,27.3
36.65,35.17,27.5
29.12,37.55,33.15
25.45,34.75,25.32
21.92,25.7,25.22
21.02,27.08,23.1
21.6,25.0,21.68
32.17,23.83,21.35
37.35,24.1,20.88
37.53,23.02,21.1
38.67,25.62,22.58
38.5,26.4,25.33
39.55,34.65,47.35
47.65,44.75,68.08
55.75,68.42,77.9
79.62,84.35,84.45
77.7,90.7,80.02
76.78,81.92,71.15
87.68,79.57,69.25
87.93,72.43,63.1
81.45,57.68,65.95
69.8,57.45,66.65
63.32,53.75,58.97
53.3,48.88,58.45
45.2,46.9,58.8
49.35,40.45,56.4
53.75,40.97,53.42
49.8,48.2,41.3
41.02,25.95,27.48
38.9,26.85,26.88
38.15,28.83,26.25
35.65,29.2,25.55
27.15,38.5,27.3
32.78,44.25,47.82
58.18,85.9,79.38
77.78,99.22,79.22
86.52,78.97,76.8
86.45,72.05,63.38
89.7,79.18,71.15
84.48,63.3,44.1
82.08,56.08,44.78
56.12,59.05,48.48
48.42,49.62,50.15
42.08,50.82,53.68
40.9,46.68,48.8
47.5,43.47,55.85
72.88,68.25,65.55
74.62,83.05,58.18
68.82,70.0,48.55
61.8,44.8,43.58
67.78,47.58,34.4
62.22,50.4,28.38
39.88,44.55,26.0
30.67,46.62,22.92
28.08,62.35,32.6
37.62,98.8,85.45
67.18,115.3,77.18
93.25,121.2,88.38
108.85,106.65,93.38
119.25,102.95,86.28
114.8,89.55,81.78
95.82,86.45,69.35
102.55,58.68,69.53
79.28,73.9,59.95
60.82,62.6,53.45
49.68,66.32,56.5
51.72,63.3,50.68
56.75,50.42,54.08
76.42,52.5,52.5
93.72,63.55,63.45
91.38,99.25,69.55
80.82,88.42,50.5
71.95,109.38,40.85
60.58,62.2,43.22
53.55,47.22,31.6
50.32,33.28,36.58
48.62,29.82,48.05
45.2,29.4,65.4
57.62,41.75,102.32
98.22,97.07,125.32
143.2,116.72,110.65
133.15,111.85,95.12
113.42,126.7,98.52
91.6,119.65,102.5
73.9,112.32,96.3
57.9,103.08,80.03
51.47,89.35,87.05
55.25,79.0,64.12
49.88,65.75,64.38
61.45,63.58,61.65
69.82,57.95,55.6
74.45,52.32,57.35
104.8,52.15,100.88
128.0,58.38,113.32
112.35,59.68,186.1
127.62,26.88,109.2
109.92,12.92,97.18
100.4,10.98,71.05
107.25,11.42,72.2
122.8,21.95,93.25
130.52,26.6,103.25
113.2,32.85,166.28
110.92,32.85,179.1
130.3,69.45,180.2
156.12,73.62,173.25
143.75,79.03,178.48
