actual,prediction,split
30.85,71.47763,evaluation
26.6,68.78118,evaluation
28.7,68.834015,evaluation
40.67,66.961334,evaluation
43.75,65.41797,evaluation
47.5,66.642204,evaluation
51.15,66.55878,evaluation
44.2,65.96059,evaluation
33.3,65.67006,evaluation
24.65,61.23446,evaluation
20.68,52.4365,evaluation
47.1,63.04639,evaluation
50.58,64.72934,evaluation
52.08,65.65961,evaluation
53.45,65.08197,evaluation
55.28,64.11357,evaluation
57.98,66.8272,evaluation
42.15,61.84086,evaluation
40.8,64.19551,evaluation
38.5,60.45751,evaluation
36.78,52.85573,evaluation
39.02,51.32331,evaluation
42.25,47.502403,evaluation
40.9,49.180614,evaluation
33.5,58.369225,evaluation
28.67,57.783894,evaluation
18.95,58.209896,evaluation
20.37,42.394913,evaluation
16.25,42.318363,evaluation
2.0,42.432404,evaluation
3.1,45.824986,evaluation
6.07,53.45126,evaluation
109.55,67.862366,evaluation
105.22,63.58002,evaluation
115.92,61.27086,evaluation
97.85,55.509815,evaluation
88.5,55.263664,evaluation
48.78,66.47951,evaluation
45.02,65.99161,evaluation
34.4,66.706,evaluation
32.28,64.958565,evaluation
32.5,62.43286,evaluation
35.47,58.80532,evaluation
38.5,58.634003,evaluation
45.62,64.45921,evaluation
56.75,65.807785,evaluation
147.15,69.86365,evaluation
162.12,70.03444,evaluation
113.05,56.317627,evaluation
68.1,54.81613,evaluation
28.2,51.79513,evaluation
49.38,51.460407,evaluation
36.75,50.63385,evaluation
27.17,52.269188,evaluation
127.65,57.85208,evaluation
109.15,60.904106,evaluation
92.65,61.521194,evaluation
91.25,56.51895,evaluation
81.1,56.21933,evaluation
68.4,58.84159,evaluation
53.3,55.98341,evaluation
48.6,56.043938,evaluation
46.6,56.695076,evaluation
46.2,51.395058,evaluation
38.05,49.92787,evaluation
41.9,49.638832,evaluation
39.78,47.19294,evaluation
47.48,50.53874,evaluation
71.05,51.962296,evaluation
62.68,55.570457,evaluation
42.42,54.702038,evaluation
36.05,50.76767,evaluation
31.65,45.634834,evaluation
29.0,44.056564,evaluation
27.6,46.90791,evaluation
27.45,52.22863,evaluation
29.25,55.51629,evaluation
47.32,55.59334,evaluation
82.62,57.989574,evaluation
89.35,58.06801,evaluation
29.18,51.58617,evaluation
44.6,45.86868,evaluation
43.25,45.28603,evaluation
40.0,45.107292,evaluation
41.97,43.229225,evaluation
62.3,44.253845,evaluation
95.52,51.83246,evaluation
99.65,65.1281,evaluation
79.8,69.86303,evaluation
57.88,66.66074,evaluation
48.2,63.07097,evaluation
32.07,63.10929,evaluation
22.0,64.421524,evaluation
18.4,60.216225,evaluation
15.75,59.71521,evaluation
18.58,56.48735,evaluation
20.6,56.883133,evaluation
27.2,52.18744,evaluation
20.65,49.34679,evaluation
23.8,52.718616,evaluation
33.38,51.7308,evaluation
54.2,59.41243,evaluation
97.65,65.82885,evaluation
119.2,54.61492,evaluation
113.32,51.427593,evaluation
85.58,46.26994,evaluation
86.45,42.884487,evaluation
32.5,42.581253,evaluation
35.7,40.683304,evaluation
61.62,42.5709,evaluation
81.82,51.305435,evaluation
