neighbor__124,neighbor__1421,neighbor__1426
96.62,69.18,44.18
84.2,42.62,14.35
72.72,32.45,27.17
66.28,28.15,55.92
63.72,26.35,99.9
60.55,18.85,109.07
61.3,13.55,102.15
78.78,30.62,74.28
88.38,73.68,83.08
87.5,88.82,102.8
80.9,83.85,100.82
77.3,80.53,101.38
69.53,72.25,102.95
64.82,41.42,124.2
62.15,36.4,110.12
59.58,43.3,96.98
43.05,38.12,81.08
38.17,34.8,71.1
42.03,31.95,61.22
45.3,30.72,60.55
46.92,35.33,58.08
48.48,42.75,65.45
62.47,58.42,98.9
55.0,34.55,84.43
45.8,23.22,82.18
34.95,17.3,67.78
27.58,14.45,69.2
32.38,11.8,83.08
32.02,10.05,77.95
36.35,11.62,59.32
51.95,14.3,57.45
64.72,23.95,43.4
62.18,29.65,47.72
60.53,32.3,63.35
55.78,29.4,68.43
49.4,21.85,84.52
41.53,15.0,86.62
36.2,12.3,62.75
29.68,11.88,78.47
25.65,7.55,28.25
28.3,7.92,36.92
27.92,6.25,40.33
28.1,4.92,37.18
34.85,7.1,54.58
35.1,10.22,23.72
37.35,12.73,25.0
35.55,10.35,45.18
35.4,9.98,34.48
37.7,8.98,35.83
32.48,9.12,45.32
26.95,10.45,55.08
31.48,7.68,56.8
35.38,20.85,46.55
43.75,11.95,38.72
37.78,31.28,46.08
51.2,37.05,68.55
48.65,16.68,70.9
43.72,18.5,37.55
39.33,26.65,29.6
43.28,38.03,34.05
44.03,45.0,36.08
43.15,49.32,49.42
39.3,38.92,63.25
43.28,36.83,51.35
35.72,34.88,47.65
33.15,32.1,48.38
37.85,35.78,49.4
55.58,50.4,54.25
70.12,66.8,37.5
38.4,35.65,21.8
24.52,26.35,20.45
26.02,23.4,21.0
34.58,24.72,22.5
35.98,26.65,27.28
42.0,28.1,47.6
49.82,46.15,63.08
60.65,64.8,58.02
52.82,64.38,53.75
53.68,60.78,53.12
54.18,59.72,53.02
53.28,47.05,46.52
53.65,46.5,41.08
53.32,45.42,34.2
48.92,38.67,25.33
42.2,35.75,24.4
35.58,32.95,27.3
44.18,35.17,27.5
45.75,37.55,33.15
43.85,34.75,25.32
41.05,25.7,25.22
39.52,27.08,23.1
38.72,25.0,21.68
39.15,23.83,21.35
42.32,24.1,20.88
44.08,23.02,21.1
43.9,25.62,22.58
41.42,26.4,25.33
46.42,34.65,47.35
67.78,44.75,68.08
69.2,68.42,77.9
67.95,84.35,84.45
65.97,90.7,80.02
66.55,81.92,71.15
64.92,79.57,69.25
54.65,72.43,63.1
48.05,57.68,65.95
54.22,57.45,66.65
55.05,53.75,58.97
51.15,48.88,58.45
53.3,46.9,58.8
53.55,40.45,56.4
56.72,40.97,53.42
57.08,48.2,41.3
42.5,25.95,27.48
41.85,26.85,26.88
46.38,28.83,26.25
45.55,29.2,25.55
43.95,38.5,27.3
49.78,44.25,47.82
66.0,85.9,79.38
65.5,99.22,79.22
67.9,78.97,76.8
67.8,72.05,63.38
65.45,79.18,71.15
57.05,63.3,44.1
53.65,56.08,44.78
53.72,59.05,48.48
47.0,49.62,50.15
41.8,50.82,53.68
38.8,46.68,48.8
48.3,43.47,55.85
69.05,68.25,65.55
80.95,83.05,58.18
75.18,70.0,48.55
70.32,44.8,43.58
70.75,47.58,34.4
72.98,50.4,28.38
71.53,44.55,26.0
67.75,46.62,22.92
60.6,62.35,32.6
69.73,98.8,85.45
88.5,115.3,77.18
84.2,121.2,88.38
83.15,106.65,93.38
80.88,102.95,86.28
70.32,89.55,81.78
63.28,86.45,69.35
59.68,58.68,69.53
52.52,73.9,59.95
52.82,62.6,53.45
47.8,66.32,56.5
47.8,63.3,50.68
50.12,50.42,54.08
62.75,52.5,52.5
71.65,63.55,63.45
87.5,99.25,69.55
88.1,88.42,50.5
88.52,109.38,40.85
89.85,62.2,43.22
99.82,47.22,31.6
99.3,33.28,36.58
98.82,29.82,48.05
110.7,29.4,65.4
103.65,41.75,102.32
110.15,97.07,125.32
105.35,116.72,110.65
106.42,111.85,95.12
99.82,126.7,98.52
90.28,119.65,102.5
82.18,112.32,96.3
63.32,103.08,80.03
54.28,89.35,87.05
47.0,79.0,64.12
45.88,65.75,64.38
42.42,63.58,61.65
45.88,57.95,55.6
54.05,52.32,57.35
76.6,52.15,100.88
86.22,58.38,113.32
69.57,59.68,186.1
32.6,26.88,109.2
63.92,12.92,97.18
47.4,10.98,71.05
80.3,11.42,72.2
92.68,21.95,93.25
132.77,26.6,103.25
135.22,32.85,166.28
139.75,32.85,179.1
144.25,69.45,180.2
129.65,73.62,173.25
120.55,79.03,178.48
114.95,75.0,162.12
101.88,66.7,153.62
109.62,62.25,139.65
107.08,39.17,137.15
91.55,44.03,99.88
72.75,27.62,94.52
80.05,37.17,80.2
81.85,43.58,89.43
84.48,52.32,64.1
103.15,46.8,55.25
107.32,32.52,51.88
110.8,20.2,52.7
105.92,34.8,39.93
75.95,15.75,59.28
76.8,13.2,94.4
68.62,9.75,100.43
67.7,9.15,89.28
74.5,9.48,81.2
83.7,14.98,71.82
90.85,23.05,67.62
92.78,23.52,56.38
71.42,17.9,54.55
71.32,17.2,89.55
73.88,19.3,89.02
70.6,22.4,113.32
108.4,73.97,34.17
107.02,62.45,40.88
100.28,34.08,39.9
88.38,14.25,36.22
82.82,20.68,32.2
71.7,55.1,29.25
49.9,37.83,25.18
56.15,32.67,31.92
62.08,49.65,39.58
67.0,47.55,37.02
54.28,36.0,30.5
52.35,32.33,32.4
58.35,37.03,36.52
59.45,28.95,25.35
59.95,22.18,21.55
49.6,12.55,21.0
45.1,11.35,25.28
